from	to	from.marker	to.marker	width	from.bp	to.bp	chromosome	logP	pointwise.permute.pval	genomewide.permute.pval
1	1	MN1_29291	MN1_29291	1	29292	29292	chr1	5.38856932297937	0	0.003
2	2	MN1_29716	MN1_29716	1	29758	29758	chr1	5.49735994501105	0	0.003
3	3	MN1_112907	MN1_112907	1	112908	112908	chr1	5.26301547142758	0	0.003
4	4	MASC03771	MASC03771	1	174606	174606	chr1	5.15836325387676	0	0.003
5	5	MN1_197787	MN1_197787	1	197788	197788	chr1	5.17122002485734	0	0.003
6	6	MN1_340810	MN1_340810	1	340811	340811	chr1	5.12061424575762	0	0.003
7	7	MN1_395107	MN1_395107	1	395108	395108	chr1	5.07639324193622	0	0.004
8	8	MN1_444820	MN1_444820	1	444765	444765	chr1	4.46772971440964	0	0.006
9	9	MN1_494205	MN1_494205	1	494206	494206	chr1	4.66385972644955	0	0.005
10	10	MN1_592863	MN1_592863	1	592868	592868	chr1	4.68455871989715	0	0.005
11	11	MN1_592760	MN1_592760	1	592985	592985	chr1	4.48301976699587	0	0.006
12	12	BKN118	BKN118	1	761585	761585	chr1	4.54863271895166	0	0.005
13	13	MN1_1042427	MN1_1042427	1	1042428	1042428	chr1	4.17490442628634	0	0.016
14	14	CRY2_1021	CRY2_1021	1	1187842	1187842	chr1	4.14826417895874	0	0.018
15	15	CRY2_429	CRY2_429	1	1188434	1188434	chr1	4.20664394590518	0	0.015
16	16	MASC07014	MASC07014	1	1189375	1189375	chr1	4.1944497595837	0	0.016
17	17	MASC03609	MASC03609	1	1226551	1226551	chr1	4.52474166380913	0	0.005
18	18	MN1_1296068	MN1_1296068	1	1296069	1296069	chr1	4.66250223325432	0	0.005
19	19	MN1_1399466	MN1_1399466	1	1399467	1399467	chr1	4.81794817975378	0	0.005
20	20	AXR1_381	AXR1_381	1	1500228	1500228	chr1	4.97410877241358	0	0.005
21	21	MASC07424	MASC07424	1	1503000	1503000	chr1	4.9246168481391	0	0.005
22	22	MASC07283	MASC07283	1	1559682	1559682	chr1	5.11216116344499	0	0.003
23	23	MN1_1602026	MN1_1602026	1	1602027	1602027	chr1	5.19744992722769	0	0.003
24	24	MN1_1844838	MN1_1844838	1	1844839	1844839	chr1	5.12596684578197	0	0.003
25	25	MASC00879	MASC00879	1	1893391	1893391	chr1	5.18113156301726	0	0.003
26	26	MN1_1945105	MN1_1945105	1	1945101	1945101	chr1	5.06580740542159	0	0.004
27	27	MASC07329	MASC07329	1	1968826	1968826	chr1	4.87027779709777	0	0.005
28	28	MN1_2211127	MN1_2211127	1	2211127	2211127	chr1	4.99173170088648	0	0.005
29	29	MASC03758	MASC03758	1	2312696	2312696	chr1	4.73101975885286	0.001	0.005
30	30	MASC03812	MASC03812	1	2412530	2412530	chr1	5.29817806257302	0.001	0.003
